Year,"Sr No",Date,Title,Subject,Judgemental_Status,"Link URL","Judgemental Summary"
2025,20,25-02-2025,"SUNIL KUMAR SINGH vs BIHAR LEGISLATIVE COUNCILW.P.(C) No. 530/2024","Challenge to the expulsion of a member of the legislature","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=358362024&type=j&order_date=2025-02-25&from=latest_judgements_order,[]
2025,21,12-02-2025,"SUKHDEV SINGH vs SUKHBIR KAURC.A. No. 2536/2019","Right of a spouse to claim interim maintenance and permanent alimony under Sections 24 and 25 of the Hindu Marriage Act, 1955 when a marriage is declared void","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=150032018&type=j&order_date=2025-02-12&from=latest_judgements_order,[]
2025,22,07-02-2025,"VIHAAN KUMAR vs THE STATE OF HARYANACrl.A. No. 621/2025","Consequence of not informing grounds of arrest","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=432932024&type=j&order_date=2025-02-07&from=latest_judgements_order,[]
2025,23,29-01-2025,"TANVI BEHL vs SHREY GOELC.A. No. 9289/2019","Constitutional validity of domicile/residence-based reservation for admissions to Post Graduate (PG) Medical Courses within the State Quota","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=159612019&type=j&order_date=2025-01-29&from=latest_judgements_order,[]
2025,24,29-01-2025,"AJAY MALIK vs STATE OF UTTARAKHANDCrl.A. No. 441/2025","Constitution of Committee to Formulate Legal Framework for Protection of Domestic Workers","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=292822022&type=j&order_date=2025-01-29&from=latest_judgements_order,[]
2025,25,15-01-2025,"RAJEEB KALITA vs UNION OF INDIAW.P.(C) No. 538/2023","Directions for ensuring adequate and accessible toilet facilities in courts and tribunals","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=182642023&type=j&order_date=2025-01-15&from=latest_judgements_order,[]
2025,26,10-01-2025,"RINA KUMARI @ RINA DEVI @ REENA vs DINESH KUMAR MAHTO @ DINESH KUMAR MAHATOCrl.A. No. 161/2025","Right of a spouse to claim maintenance under Section 125 Cr.P.C. in cases of non-compliance with a decree of restitution of conjugal rights","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=73362024&type=j&order_date=2025-01-10&from=latest_judgements_order,[]
2025,27,10-01-2025,"MYPREFERRED TRANSFORMATION AND HOSPITALITY PVT. LTD. vs M/S. FARIDABAD IMPLEMENTS PVT. LTD.C.A. No. 336/2025","Applicability of the Limitation Act, 1963 and Section 10 of the General Clauses Act, 1897 to the Arbitration and Conciliation Act, 1996","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=159252024&type=j&order_date=2025-01-10&from=latest_judgements_order,[]
2025,28,02-01-2025,"URMILA DIXIT vs SUNIL SHARAN DIXITC.A. No. 10927/2024","Right of a senior citizen to claim back their transferred property under the Section 23 of the Maintenance and Welfare of the Parents and Senior Citizens Act, 2007","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=413362022&type=j&order_date=2025-01-02&from=latest_judgements_order,[]
2026,1,10-02-2026,"IN RE: ORDER DATED 17.03.2025 PASSED BY THE HIGH COURT OF JUDICATURE AT ALLAHABAD IN CRIMINAL REVISION NO. 1449/2024 AND ANCILLARY ISSUES vs SMW(Crl) No. 1/2025","Constitution of a Committee of Experts for developing guidelines to inculcate sensitivity and compassion into judicial approach while dealing with matters involving sexual offences","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=156812025&type=j&order_date=2026-02-10&from=latest_judgements_order,[]
2026,2,09-02-2026,"THE DEPUTY COMMISSIONER AND SPECIAL LAND ACQUISITION OFFICER vs M/S S.V. GLOBAL MILL LIMITEDC.A. No. 909-910/2026","Applicability of the Limitation Act to appeals under Section 74 of the 2013 Land Acquisition Act for proceedings initiated under the Land Acquisition Act, 1894.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=366642022&type=j&order_date=2026-02-09&from=latest_judgements_order,[]
