Year,"Sr No",Date,Title,Subject,Judgemental_Status,"Link URL","Judgemental Summary"
2023,27,03-01-2023,"KAUSHAL KISHOR vs THE STATE OF UTTAR PRADESH GOVT. OF U.P. HOME SECRETARYW.P.(Crl.) No. 113/2016","Extent to which private (non-State) parties are required to respect the Article 19 and 21 rights of other persons.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=271562016&type=j&order_date=2023-01-03&from=latest_judgements_order,[]
2023,28,02-01-2023,"VIVEK NARAYAN SHARMA vs UNION OF INDIAW.P.(C) No. 906/2016","Constitutional challenge to 'Demonetisation'.",PDF,https://webapi.sci.gov.in//pdfdate/index1.php?dt=2023-01-02&dno=376622016&filename=supremecourt/2016/37662/37662_2016_3_1501_40708_Judgement_02-Jan-2023.pdf,[]
2024,1,25-11-2024,"BALRAM SINGH vs UNION OF INDIAW.P.(C) No. 645/2020","Constitutional validity  of the insertion of the words 'socialist' and 'secular' in the Preamble","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=137732020&type=j&order_date=2024-11-25&from=latest_judgements_order,[]
2024,2,08-11-2024,"ALIGARH MUSLIM UNIVERSITY THROUGH ITS REGISTRAR FAIZAN MUSTAFA vs NARESH AGARWALC.A. No. 2286/2006","Criteria for the determination of a minority educational institution.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=92872006&type=j&order_date=2024-11-08&from=latest_judgements_order,[]
2024,3,08-11-2024,"CENTRAL ORGANISATION FOR RAILWAY ELECTRIFICATION vs M/S ECI SPIC SMO MCML (JV) A JOINT VENTURE COMPANYC.A. No. 9486-9487/2019","Validity of unilateral appointment of arbitrators in public-private contract","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=285312019&type=j&order_date=2024-11-08&from=latest_judgements_order,[]
2024,4,07-11-2024,"TEJ PRAKASH PATHAK vs RAJASTHAN HIGH COURTC.A. No. 2634/2013","Challenge to the change in the 'rules of game' in recruitment process","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=131642011&type=j&order_date=2024-11-07&from=latest_judgements_order,[]
2024,5,06-11-2024,"M/S. BAJAJ ALLIANCE GENERAL INSURANCE CO.LTD. vs RAMBHA DEVIC.A. No. 841/2018","Whether an LMV Licence Holder is legally competent to drive Transport Vehicles weighing less than 7,500 kgs.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=296862017&type=j&order_date=2024-11-06&from=latest_judgements_order,[]
2024,6,05-11-2024,"ANJUM KADARI vs UNION OF INDIASLP(C) No. 8541/2024","Challenge to the constitutional validity of the  Uttar Pradesh Board of Madarsa Education Act, 2004","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=144322024&type=j&order_date=2024-11-05&from=latest_judgements_order,[]
2024,7,05-11-2024,"PROPERTY OWNERS ASSOCIATION vs STATE OF MAHARASHTRA .C.A. No. 1012/2002","Scope of the words ""material resources of the community"" under Article 39(b) of the Constitution","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=786291992&type=j&order_date=2024-11-05&from=latest_judgements_order,[]
2024,8,23-10-2024,"STATE OF U.P. . vs M/S. LALTA PRASAD VAISH AND SONSC.A. No. 151/2007","State’s Power to Regulate Industrial Alcohol","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=129962005&type=j&order_date=2024-10-23&from=latest_judgements_order,[]
2024,9,17-10-2024,"IN RE SECTION 6A OF THE CITIZENSHIP ACT 1955 vs W.P.(C) No. 274/2009","Constitutional challenge against Section 6A of Citizenship Act, 1955","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=161132009&type=j&order_date=2024-10-17&from=latest_judgements_order,[]
2024,10,15-10-2024,"OMKAR vs THE UNION OF INDIAC.A. No. 10611/2024","Disqualification from an educational course cannot be solely based on quantified disability.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=394482024&type=j&order_date=2024-10-15&from=latest_judgements_order,[]
2024,11,03-10-2024,"SUKANYA SHANTHA vs UNION OF INDIAW.P.(C) No. 1404/2023","Challenge to caste-based discrimination in prisons","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=510592023&type=j&order_date=2024-10-03&from=latest_judgements_order,[]
2024,12,26-09-2024,"V. SENTHIL BALAJI vs THE DEPUTY DIRECTORCrl.A. No. 4011/2024","Power of constitutional courts to grant bail for offences in statutes with stringent bail conditions","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=127212024&type=j&order_date=2024-09-26&from=latest_judgements_order,[]
2024,13,23-09-2024,"JUST RIGHTS FOR CHILDREN ALLIANCE vs S. HARISHCrl.A. No. 2161-2162/2024","Whether viewing child sexual exploitation and abuse material is punishable under the Protection of Children from Sexual Offences Act, 2012","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=85622024&type=j&order_date=2024-09-23&from=latest_judgements_order,[]
2024,14,13-09-2024,"ARVIND KEJRIWAL vs CENTRAL BUREAU OF INVESTIGATIONCrl.A. No. 3816/2024","Whether the arrest of Mr. Arvind Kejriwal was legal and is he entitled to bail in the CBI case","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=362312024&type=j&order_date=2024-09-13&from=latest_judgements_order,[]
2024,15,23-08-2024,"SHAJAN SKARIA vs THE STATE OF KERALACrl.A. No. 2622/2024","Extent of bar against the grant of anticipatory bail in SC/ST offences","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=260152023&type=j&order_date=2024-08-23&from=latest_judgements_order,[]
2024,16,20-08-2024,"IN RE: ALLEGED RAPE AND MURDER INCIDENT OF A TRAINEE DOCTOR IN R.G. KAR MEDICAL COLLEGE AND HOSPITAL, KOLKATA AND RELATED ISSUES vs SMW(Crl) No. 2/2024","Urgent need to formulate institutional safety measures for medical professionals following the murder and alleged rape of a doctor in Kolkata.",PDF,https://main.sci.nic.in/supremecourt/2024/37351/37351_2024_1_66_54902_Judgement_20-Aug-2024.pdf,[]
2024,17,20-08-2024,"IN RE: RIGHT TO PRIVACY OF ADOLESCENTS vs SMW(C) No. 3/2023","Use of judicial discretion when quashing rape conviction under IPC and POCSO","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=512082023&type=j&order_date=2024-08-20&from=latest_judgements_order,[]
2024,18,14-08-2024,"MINERAL AREA DEVELOPMENT AUTHORITY ETC. vs M/S STEEL AUTHORITY OF INDIA .C.A. No. 4056-4064/1999","Whether the judgment in Mineral Area Development Authority v. M/S Steel Authority of India  should be given prospective effect.","Argument Transcript",https://www.sci.gov.in/wp-admin/admin-ajax.php?action=get_court_pdf&diary_no=90121999&type=j&order_date=2024-07-31&from=transcribed_arguments,[]
2024,19,09-08-2024,"MANISH SISODIA vs DIRECTORATE OF ENFORCEMENTCrl.A. No. 3295/2024","Whether Manish Sisodia is entitled to bail due to prolonged incarceration and delay in trial","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=292662024&type=j&order_date=2024-08-09&from=latest_judgements_order,[]
2024,20,05-08-2024,"GOVERNMENT OF NCT OF DELHI vs OFFICE OF LIEUTENANT GOVERNOR OF DELHIW.P.(C) No. 348/2023","Whether the Lieutenant Governor of Delhi is bound by the aid and advice of the elected Delhi Government when nominating members of the Municipal Corporation of Delhi","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=106972023&type=j&order_date=2024-08-05&from=latest_judgements_order,[]
2024,21,01-08-2024,"THE STATE OF PUNJAB vs DAVINDER SINGHC.A. No. 2317/2011","States' power to sub-classify Scheduled Castes for providing reservation","Argument Transcripts",https://cdnbbsr.s3waas.gov.in/s3ec0490f1f4972d133619a60c30f3559e/uploads/2024/02/2024020923.pdf,[]
2024,22,30-07-2024,"GAURAV KUMAR vs UNION OF INDIAW.P.(C) No. 352/2023","Whether State Bar Councils can charge a higher enrollment fees than set out in the Advocates Act.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=84092023&type=j&order_date=2024-07-30&from=latest_judgements_order,[]
2024,23,25-07-2024,"MINERAL AREA DEVELOPMENT AUTHORITY ETC. vs M/S STEEL AUTHORITY OF INDIA .C.A. No. 4056-4064/1999","Whether states have the power to tax mineral rights and mine bearing lands and whether royalty on mining leases is a tax.","Argument Transcripts",https://cdnbbsr.s3waas.gov.in/s3ec0490f1f4972d133619a60c30f3559e/uploads/2024/02/2024022875.pdf,[]
2024,24,23-07-2024,"GENE CAMPAIGN . vs UNION OF INDIAW.P.(C) No. 115/2004","Challenge against the approval of hybrid transgenic mustard DMH-11 for environmental release.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=6612004&type=j&order_date=2024-07-23&from=latest_judgements_order,[]
2024,25,12-07-2024,"ARVIND KEJRIWAL vs DIRECTORATE OF ENFORCEMENTCrl.A. No. 2493/2024","Challenging the validity of the arrest of Chief Minister of Delhi","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=163502024&type=j&order_date=2024-07-12&from=latest_judgements_order,[]
2024,26,11-07-2024,"MD. RAHIM ALI @ ABDUR RAHIM vs THE STATE OF ASSAMC.A. No. 7332/2024","Standard for initiating proceedings doubting an individual's nationality under the Foreigners Act, 1946.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=206742017&type=j&order_date=2024-07-11&from=latest_judgements_order,[]
2024,27,08-07-2024,"FRANK VITUS vs NARCOTICS CONTROL BUREAUCrl.A. No. 2814-2815/2024","Whether an accused can be required to share their location on Google Maps as a bail condition.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=66872023&type=j&order_date=2024-07-08&from=latest_judgements_order,[]
2024,28,15-05-2024,"PRABIR PURKAYASTHA vs STATE (NCT OF DELHI)Crl.A. No. 2577/2024","Challenge to arrest under Unlawful Activities (Prevention) Act, 1967 and need to inform accused of grounds of arrest in writing.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=428962023&type=j&order_date=2024-05-15&from=latest_judgements_order,[]
2024,29,10-05-2024,"ARVIND KEJRIWAL vs DIRECTORATE OF ENFORCEMENTCrl.A. No. 2493/2024","Interim bail for the Chief Minister of Delhi.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=163502024&type=j&order_date=2024-05-10&from=latest_judgements_order,[]
2024,30,01-05-2024,"SHARIF AHMAD vs THE STATE OF UTTAR PRADESH HOME DEPARTMENT SECRETARYCrl.A. No. 2357/2024","When is a chargesheet complete under the Code of Criminal Procedure, 1973.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=38732017&type=j&order_date=2024-05-01&from=latest_judgements_order,[]
2024,31,26-04-2024,"ASSOCIATION FOR DEMOCRATIC REFORMS vs ELECTION COMMISSION OF INDIAW.P.(C) No. 434/2023","Challenge to the integrity of Electronic Voting Machines (EVMs).","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=108572023&type=j&order_date=2024-04-26&from=latest_judgements_order,[]
2024,32,21-03-2024,"M.K. RANJITSINH vs UNION OF INDIAW.P.(C) No. 838/2019","Steps needed to protect the Great Indian Bustard from potential extinction.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=207542019&type=j&order_date=2024-03-21&from=latest_judgements_order,[]
2024,33,21-03-2024,"NOBLE M PAIKADA vs UNION OF INDIAC.A. No. 1628-1629/2021","Challenge to exemptions from environmental clearances for roads and pipelines.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=59842021&type=j&order_date=2024-03-21&from=latest_judgements_order,[]
2024,34,18-03-2024,"NAVAS @ MULANAVAS vs STATE OF KERALACrl.A. No. 1215/2011","Suitable term of imprisonment for murder.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=176072010&type=j&order_date=2024-03-18&from=latest_judgements_order,[]
2024,35,11-03-2024,"DEVU G. NAIR vs THE STATE OF KERALACrl.A. No. 1730/2024","Habeas corpus petition to secure release of relationship-partner from parents.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=50272023&type=j&order_date=2024-03-11&from=latest_judgements_order,[]
2024,36,07-03-2024,"JAVED AHMAD HAJAM vs THE STATE OF MAHARASHTRACrl.A. No. 886/2024","Quashing of criminal proceedings against individual for WhatsApp status critical of government policy.",PDF,https://webapi.sci.gov.in/supremecourt/2023/20359/20359_2023_8_1501_51218_Judgement_07-Mar-2024.pdf,[]
2024,37,04-03-2024,"SITA SOREN vs UNION OF INDIACrl.A. No. 451/2019","Whether a legislator enjoys constitutional immunity from accusations of accepting bribes in connection with their vote in Parliament or a state legislature.",PDF,https://main.sci.gov.in/supremecourt/2014/10177/10177_2014_1_1501_51211_Judgement_04-Mar-2024.pdf,[]
2024,38,29-02-2024,"HIGH COURT BAR ASSOCIATION ALLAHABAD vs THE STATE OF UTTAR PRADESHCrl.A. No. 3589/2023","Whether interim orders passed by High Courts automatically expire after six months.",PDF,https://webapi.sci.gov.in/supremecourt/2023/47928/47928_2023_1_1501_51053_Judgement_29-Feb-2024.pdf,[]
2024,39,20-02-2024,"KULDEEP KUMAR vs U.T. CHANDIGARHC.A. No. 2874/2024","Challenge to the mayoral elections of the Chandigarh Municipal Corporation.",PDF,https://webapi.sci.gov.in/supremecourt/2024/4999/4999_2024_1_15_50631_Judgement_20-Feb-2024.pdf,[]
2024,40,15-02-2024,"ASSOCIATION FOR DEMOCRATICS REFORMS vs UNION OF INDIAW.P.(C) No. 880/2017","Challenge to Electoral Bonds scheme.","Argument Transcripts",https://cdnbbsr.s3waas.gov.in/s3ec0490f1f4972d133619a60c30f3559e/uploads/2024/01/2024012592.pdf,[]
2024,41,08-01-2024,"BILKIS YAKUB RASOOL vs UNION OF INDIAW.P.(Crl.) No. 491/2022","Challenge to the remission orders passed by the State of Gujarat releasing individuals convicted of gang rape during communal rights.",PDF,https://webapi.sci.gov.in/supremecourt/2022/38741/38741_2022_12_1501_49383_Judgement_08-Jan-2024.pdf,[]
2024,42,03-01-2024,"VISHAL TIWARI vs UNION OF INDIAW.P.(C) No. 162/2023","Plea challenging SEBI's investigation into the Adani Group and seeking constitution of Special Investigation Team (SIT).",PDF,https://main.sci.gov.in/supremecourt/2023/5354/5354_2023_1_1501_49132_Judgement_03-Jan-2024.pdf,[]
