U.G. University Examination Supplementary - 2024 / 2025,Title
1st Year  M.B.B.S. August-September-2025,1st_mbbs_aug-sep-2025.pdf
1st Year M.B.B.S. September-2024,https://gmcsurat.edu.in/lib/exe/fetch.php?media=1st_mbbs_sep-2024.pdf
3rd Year M.B.B.S. Part-1 January-2025,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part-1_january-2025.pdf
3rd Year M.B.B.S. Part-2 March/April-2025,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part_2_march_april-2025.pdf
3rd Year M.B.B.S. Part-1 January-2026,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part_1_jan_2026.pdf
3rd Year M.B.B.S Part-2 March-26,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part2_march_26.pdf
,
U.G. University Examination - 2024 / 2025,
1st Year M.B.B.S. August - 2024,1st_mbbs_august-2024.pdf
3rd Year M.B.B.S. Part-1 December-2024,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_p-1_dec-2024.pdf
3rd Year M.B.B.S. Part-2 January-2025,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_old_new_part_2_jan_2025.pdf
3rd Year M.B.B.S. Part-1 November-2025-2026,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part_1_november_25.pdf
,
U.G. University Examination Supplementary - 2024 / 2025,
1st Year M.B.B.S. January-2024,1st_year_jan_2024.pdf
3rd Year M.B.B.S. Part-1 February-2024,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_year_part_1_feb_2024.pdf
,
U.G. University Examination Nov/Dec-2023 And Jan/Feb-2024,
1st Year M.B.B.S. November-2023,1st_mbbs_nov-2023.pdf
3rd Year M.B.B.S. Part-1 December-2023,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part-1_dec-2023.pdf
2nd Year M.B.B.S. February-2024,https://gmcsurat.edu.in/lib/exe/fetch.php?media=2nb_mbbs_feb-2024.pdf
3rd Year M.B.B.S. Part-2 Jan/Feb-2024,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_year_m.b.b.s._part-2_jan-feb-2024.pdf
,
U.G. University Examination March/April/May Supplementary – 2023,
1st Year M.B.B.S. April-2023,1st_mbbs_april-2023_supplementary.pdf
2nd Year M.B.B.S. March-2023,https://gmcsurat.edu.in/lib/exe/fetch.php?media=2nd_mbbs_march-2023_supplementary.pdf
3rd Year M.B.B.S. Part-1 April-2023,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part-1_april_2023_supplementary.pdf
3rd Year M.B.B.S. Part-2 May/June-2023,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part-2_may-june_23_supplementary.pdf
,
U.G. University Examination January – 2023,
1st Year M.B.B.S.,1st_mbbs_jan_-_23.pdf
2nd Year M.B.B.S.,https://gmcsurat.edu.in/lib/exe/fetch.php?media=2nd_mbbs_jan_-_23.pdf
3rd Year M.B.B.S. Part-1,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part-1_jan_-_23.pdf
3rd Year M.B.B.S. Part-2,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_mbbs_part-2_jan_-_23.pdf
,
U.G. University Examination January – 2022,
1st Year M.B.B.S. January-2022,1st_year_mbbs_jan-2022.pdf
2nd Year M.B.B.S University Examination January-2022,https://gmcsurat.edu.in/lib/exe/fetch.php?media=pathology_jan22.pdf
"3rd Year M.B.B.S., Part-I",https://gmcsurat.edu.in/lib/exe/fetch.php?media=psm_phase_1_jan_2022.pdf
"3rd Year M.B.B.S., Part-II",https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_year_part-2_jan_feb_2022.pdf
,
U.G. University Examination January/February - 2021,
1st Year M.B.B.S. (January-2021) (Old & New CBME Pattern),1st_year_mbbs_jan-2021.pdf
2nd Year M.B.B.S. (February-2021),https://gmcsurat.edu.in/lib/exe/fetch.php?media=feb21_2nd_year.pdf
3rd Year M.B.B.S. Part-1 (February-2021),https://gmcsurat.edu.in/lib/exe/fetch.php?media=examination_paper_202101301312.pdf
3rd Year M.B.B.S. Part-2 (February-2021),https://gmcsurat.edu.in/lib/exe/fetch.php?media=feb21_3rd_year_p_2.pdf
