Level1,Level2,Path,Type,Name,URL
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Gastroenterology,PDF,101502.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Gastroenterology/101502.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Gastroenterology,PDF,102502.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Gastroenterology/102502.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Gastroenterology,PDF,103502.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Gastroenterology/103502.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Gastroenterology,PDF,104502.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Gastroenterology/104502.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Nephrology,PDF,101504.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Nephrology/101504.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Nephrology,PDF,102504.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Nephrology/102504.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Nephrology,PDF,103504.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Nephrology/103504.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Nephrology,PDF,104504.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Nephrology/104504.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Neurology,PDF,101503.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Neurology/101503.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Neurology,PDF,102503.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Neurology/102503.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Neurology,PDF,103503.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Neurology/103503.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/Neurology,PDF,104503.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/Neurology/104503.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/PulmonaryMedicine,PDF,101515.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/PulmonaryMedicine/101515.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/PulmonaryMedicine,PDF,102515.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/PulmonaryMedicine/102515.pdf
MEDICAL,SUPERSPECIALITY,/DM/2014_JULY/PulmonaryMedicine,PDF,103515.pdf,http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2014_JULY/PulmonaryMedicine/103515.pdf
