Category,Exam Name,PDF Name,PDF Link
U.G. University Examination January - 2022,2nd Year M.B.B.S University Examination January-2022,forensic_medicine_jan_2022.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=forensic_medicine_jan_2022.pdf
U.G. University Examination January - 2022,"3rd Year M.B.B.S., Part-I",psm_phase_1_jan_2022.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=psm_phase_1_jan_2022.pdf
U.G. University Examination January - 2022,"3rd Year M.B.B.S., Part-I",ophthalmology_phase_1_jan_2022.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=ophthalmology_phase_1_jan_2022.pdf
U.G. University Examination January - 2022,"3rd Year M.B.B.S., Part-I",ent_phase_1_jan_2022.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=ent_phase_1_jan_2022.pdf
U.G. University Examination January - 2022,"3rd Year M.B.B.S., Part-II",3rd_year_part-2_jan_feb_2022.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=3rd_year_part-2_jan_feb_2022.pdf
U.G. University Examination January/February - 2021,1st Year M.B.B.S. (January-2021) (Old & New CBME Pattern),1st_year_mbbs_jan-2021.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=1st_year_mbbs_jan-2021.pdf
U.G. University Examination January/February - 2021,2nd Year M.B.B.S. (February-2021),feb21_2nd_year.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=feb21_2nd_year.pdf
U.G. University Examination January/February - 2021,3rd Year M.B.B.S. Part-1 (February-2021),examination_paper_202101301312.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=examination_paper_202101301312.pdf
U.G. University Examination January/February - 2021,3rd Year M.B.B.S. Part-2 (February-2021),feb21_3rd_year_p_2.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=feb21_3rd_year_p_2.pdf
,,"2nd Year, 3rd Year(Part-I) & 3rd Year(Part-II) M.B.B.S August-2020 Exam Papers",https://gmcsurat.edu.in/lib/exe/fetch.php?media=ug_papers_aug-2020.pdf
